real_sample,Annotation_of_cell_types,Annotation_of_cell_types_real_sample,Condition,Genotype
KO_MNU_2_HT2,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_2_HT2,treated,KO
KO_MNU_2_HT3,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_2_HT3,treated,KO
KO_MNU_2_HT4,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_2_HT4,treated,KO
WT_HT1,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_HT1,untreated,WT
WT_HT2,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_HT2,untreated,WT
WT_HT3,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_HT3,untreated,WT
WT_HT4,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_HT4,untreated,WT
WT_MNU_1_HT1,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_1_HT1,treated,WT
WT_MNU_1_HT3,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_1_HT3,treated,WT
WT_MNU_1_HT4,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_1_HT4,treated,WT
WT_MNU_1_HT5,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_1_HT5,treated,WT
WT_MNU_2_HT1,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_2_HT1,treated,WT
WT_MNU_2_HT3,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_2_HT3,treated,WT
WT_MNU_2_HT4,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_2_HT4,treated,WT
WT_MNU_2_HT5,Pre_DC2s._DC2s._proDC3s._DC3s,Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_2_HT5,treated,WT
KO_HT1,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_HT1,untreated,KO
KO_HT2,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_HT2,untreated,KO
KO_HT3,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_HT3,untreated,KO
KO_HT4,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_HT4,untreated,KO
KO_MNU_1_HT1,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_MNU_1_HT1,treated,KO
KO_MNU_1_HT2,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_MNU_1_HT2,treated,KO
KO_MNU_1_HT3,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_MNU_1_HT3,treated,KO
KO_MNU_1_HT4,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_MNU_1_HT4,treated,KO
KO_MNU_2_HT1,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_MNU_2_HT1,treated,KO
KO_MNU_2_HT2,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_MNU_2_HT2,treated,KO
KO_MNU_2_HT3,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_MNU_2_HT3,treated,KO
KO_MNU_2_HT4,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_KO_MNU_2_HT4,treated,KO
WT_HT1,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_HT1,untreated,WT
WT_HT2,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_HT2,untreated,WT
WT_HT3,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_HT3,untreated,WT
WT_HT4,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_HT4,untreated,WT
WT_MNU_1_HT1,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_MNU_1_HT1,treated,WT
WT_MNU_1_HT3,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_MNU_1_HT3,treated,WT
WT_MNU_1_HT4,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_MNU_1_HT4,treated,WT
WT_MNU_1_HT5,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_MNU_1_HT5,treated,WT
WT_MNU_2_HT1,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_MNU_2_HT1,treated,WT
WT_MNU_2_HT3,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_MNU_2_HT3,treated,WT
WT_MNU_2_HT4,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_MNU_2_HT4,treated,WT
WT_MNU_2_HT5,Treg__Regulatory_T__cell,Treg__Regulatory_T__cell_WT_MNU_2_HT5,treated,WT
