"Annotation_of_cell_types_real_sample","real_sample","Annotation_of_cell_types","Condition","Genotype"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_HT1","KO_HT1","Pre_DC2s_DC2s_proDC3s_DC3s","untreated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_HT2","KO_HT2","Pre_DC2s_DC2s_proDC3s_DC3s","untreated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_HT3","KO_HT3","Pre_DC2s_DC2s_proDC3s_DC3s","untreated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_HT4","KO_HT4","Pre_DC2s_DC2s_proDC3s_DC3s","untreated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_1_HT1","KO_MNU_1_HT1","Pre_DC2s_DC2s_proDC3s_DC3s","treated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_1_HT2","KO_MNU_1_HT2","Pre_DC2s_DC2s_proDC3s_DC3s","treated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_1_HT3","KO_MNU_1_HT3","Pre_DC2s_DC2s_proDC3s_DC3s","treated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_1_HT4","KO_MNU_1_HT4","Pre_DC2s_DC2s_proDC3s_DC3s","treated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_2_HT1","KO_MNU_2_HT1","Pre_DC2s_DC2s_proDC3s_DC3s","treated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_2_HT2","KO_MNU_2_HT2","Pre_DC2s_DC2s_proDC3s_DC3s","treated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_2_HT3","KO_MNU_2_HT3","Pre_DC2s_DC2s_proDC3s_DC3s","treated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_KO_MNU_2_HT4","KO_MNU_2_HT4","Pre_DC2s_DC2s_proDC3s_DC3s","treated","KO"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_HT1","WT_HT1","Pre_DC2s_DC2s_proDC3s_DC3s","untreated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_HT2","WT_HT2","Pre_DC2s_DC2s_proDC3s_DC3s","untreated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_HT3","WT_HT3","Pre_DC2s_DC2s_proDC3s_DC3s","untreated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_HT4","WT_HT4","Pre_DC2s_DC2s_proDC3s_DC3s","untreated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_1_HT1","WT_MNU_1_HT1","Pre_DC2s_DC2s_proDC3s_DC3s","treated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_1_HT3","WT_MNU_1_HT3","Pre_DC2s_DC2s_proDC3s_DC3s","treated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_1_HT4","WT_MNU_1_HT4","Pre_DC2s_DC2s_proDC3s_DC3s","treated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_1_HT5","WT_MNU_1_HT5","Pre_DC2s_DC2s_proDC3s_DC3s","treated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_2_HT1","WT_MNU_2_HT1","Pre_DC2s_DC2s_proDC3s_DC3s","treated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_2_HT3","WT_MNU_2_HT3","Pre_DC2s_DC2s_proDC3s_DC3s","treated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_2_HT4","WT_MNU_2_HT4","Pre_DC2s_DC2s_proDC3s_DC3s","treated","WT"
"Pre_DC2s._DC2s._proDC3s._DC3s_WT_MNU_2_HT5","WT_MNU_2_HT5","Pre_DC2s_DC2s_proDC3s_DC3s","treated","WT"
"Treg__Regulatory_T__cell_KO_HT1","KO_HT1","Treg_(Regulatory_T)_cell","untreated","KO"
"Treg__Regulatory_T__cell_KO_HT2","KO_HT2","Treg_(Regulatory_T)_cell","untreated","KO"
"Treg__Regulatory_T__cell_KO_HT3","KO_HT3","Treg_(Regulatory_T)_cell","untreated","KO"
"Treg__Regulatory_T__cell_KO_HT4","KO_HT4","Treg_(Regulatory_T)_cell","untreated","KO"
"Treg__Regulatory_T__cell_KO_MNU_1_HT1","KO_MNU_1_HT1","Treg_(Regulatory_T)_cell","treated","KO"
"Treg__Regulatory_T__cell_KO_MNU_1_HT2","KO_MNU_1_HT2","Treg_(Regulatory_T)_cell","treated","KO"
"Treg__Regulatory_T__cell_KO_MNU_1_HT3","KO_MNU_1_HT3","Treg_(Regulatory_T)_cell","treated","KO"
"Treg__Regulatory_T__cell_KO_MNU_1_HT4","KO_MNU_1_HT4","Treg_(Regulatory_T)_cell","treated","KO"
"Treg__Regulatory_T__cell_KO_MNU_2_HT1","KO_MNU_2_HT1","Treg_(Regulatory_T)_cell","treated","KO"
"Treg__Regulatory_T__cell_KO_MNU_2_HT2","KO_MNU_2_HT2","Treg_(Regulatory_T)_cell","treated","KO"
"Treg__Regulatory_T__cell_KO_MNU_2_HT3","KO_MNU_2_HT3","Treg_(Regulatory_T)_cell","treated","KO"
"Treg__Regulatory_T__cell_KO_MNU_2_HT4","KO_MNU_2_HT4","Treg_(Regulatory_T)_cell","treated","KO"
"Treg__Regulatory_T__cell_WT_HT1","WT_HT1","Treg_(Regulatory_T)_cell","untreated","WT"
"Treg__Regulatory_T__cell_WT_HT2","WT_HT2","Treg_(Regulatory_T)_cell","untreated","WT"
"Treg__Regulatory_T__cell_WT_HT3","WT_HT3","Treg_(Regulatory_T)_cell","untreated","WT"
"Treg__Regulatory_T__cell_WT_HT4","WT_HT4","Treg_(Regulatory_T)_cell","untreated","WT"
"Treg__Regulatory_T__cell_WT_MNU_1_HT1","WT_MNU_1_HT1","Treg_(Regulatory_T)_cell","treated","WT"
"Treg__Regulatory_T__cell_WT_MNU_1_HT3","WT_MNU_1_HT3","Treg_(Regulatory_T)_cell","treated","WT"
"Treg__Regulatory_T__cell_WT_MNU_1_HT4","WT_MNU_1_HT4","Treg_(Regulatory_T)_cell","treated","WT"
"Treg__Regulatory_T__cell_WT_MNU_1_HT5","WT_MNU_1_HT5","Treg_(Regulatory_T)_cell","treated","WT"
"Treg__Regulatory_T__cell_WT_MNU_2_HT1","WT_MNU_2_HT1","Treg_(Regulatory_T)_cell","treated","WT"
"Treg__Regulatory_T__cell_WT_MNU_2_HT3","WT_MNU_2_HT3","Treg_(Regulatory_T)_cell","treated","WT"
"Treg__Regulatory_T__cell_WT_MNU_2_HT4","WT_MNU_2_HT4","Treg_(Regulatory_T)_cell","treated","WT"
"Treg__Regulatory_T__cell_WT_MNU_2_HT5","WT_MNU_2_HT5","Treg_(Regulatory_T)_cell","treated","WT"
